repo_name,commit,author_name,commit_timestamp,message,is_corrective,is_adaptive,is_perfective,is_refactor,is_cursing,is_positive_sentiment,is_negative_sentiment,is_performance,files,non_test_files,code_files,code_non_test_files,duration
NemesisVex/Duran-Duran-Networks-Wordpress,1aebecad96bf2e924f3d1970bbead03ee01eecd6,mikelittle,2003-06-04 00:14:49 UTC,"Fix remote SQL injection exploit.
""b2 0.6.2 and prior"" allow sql injection in ./blog.header.php. $posts isn�t
convert to integer, so we can inject a sql in this variable. In MySQL 4.x
UNION and subselects can be used to obtain privileges.


git-svn-id: 33a53d2031ff1536f7722bcba09bc6642b9c080a@153 1a063a9b-81f0-0310-95a4-ce76da25c4cd
",true,true,true,true,false,false,false,false,1,1,1,1,59
observantrecords/Observant-Records-WordPress,1aebecad96bf2e924f3d1970bbead03ee01eecd6,mikelittle,2003-06-04 00:14:49 UTC,"Fix remote SQL injection exploit.
""b2 0.6.2 and prior"" allow sql injection in ./blog.header.php. $posts isn�t
convert to integer, so we can inject a sql in this variable. In MySQL 4.x
UNION and subselects can be used to obtain privileges.


git-svn-id: 33a53d2031ff1536f7722bcba09bc6642b9c080a@153 1a063a9b-81f0-0310-95a4-ce76da25c4cd
",true,true,true,true,false,false,false,false,1,1,1,1,59
proftpd/proftpd,739ef08cc2ddf42d0db55fd85b96c94e239cc02c,castaglia,2003-06-28 17:14:11 UTC,"
Add comments about provide proper escapestring implementations.  Failure
to do so allows SQL injection.
",true,false,true,false,false,false,false,false,2,2,2,2,2040
Cacti/cacti,81f671d8d0bd5543af53e3169159ea1b28cc1027,Tony Roman,2005-06-26 00:17:16 UTC,"SECURITY: Hardened PHP Project Advisory #022005 - Cacti Multiple SQL Injection Vulnerabilities
SECURITY: Hardened PHP Project Advisory #032005 - Cacti Remote Command Execution Vulnerability


git-svn-id: ca965106e005d27ba268c1682fde4cd955e45a56@3001 860744bd-22fc-0310-8c96-e9fe5004b5ca
",true,false,false,false,false,false,false,false,11,11,11,11,0
rails-sqlserver/activerecord-sqlserver-adapter,807786dc594a976376a5490e84c06f10820f2f86,Jonathan Lim,2008-06-17 16:37:34 UTC,"Adding tests and code to ensure that adapter is not vulnerable to limit and offset SQL injection.
",false,true,false,false,false,false,false,false,4,1,4,1,350
rails-sqlserver/activerecord-sqlserver-adapter,892857ffcf87a2b2f828912029c418a034fde64a,Jonathan Lim,2008-06-17 16:37:34 UTC,"Adding tests and code to ensure that adapter is not vulnerable to limit and offset SQL injection.
",false,true,false,false,false,false,false,false,4,1,4,1,350
nikrou/phyxo,1618e85cf952daf43f2b16ec3f89f4a9b1e855c7,plg,2010-01-25 15:19:17 UTC,"merge r4742 from branch 2.0 to trunk

bug 1391 fixed: prevent from SQL injection


git-svn-id: 07d450c9015c98804e48b520a2aeaa7bff74be0c@4743 68402e56-0260-453c-a942-63ccdbb3a9ee
",true,true,false,false,false,false,false,false,1,1,1,1,2422
abrt/abrt,d36042c8e3722cc34c95bee69bade25c55a234ee,Denys Vlasenko,2010-01-11 06:17:11 UTC,"SQLite3: check for SQL injection

Signed-off-by: Denys Vlasenko <42afb3a19136e88700e8b77002ea6a5a94c16782@googlemail.com>
",false,false,false,false,false,false,false,false,1,1,1,1,791
wso2/carbon-apimgt,8a1495ff2fd38343480fec211b63b0f8ae3bb4d9,Shani Ranasinghe,2016-01-25 13:21:20 UTC,"Merge pull request #1562 from shaniR/master

Security fixes for SQL injection",true,true,false,false,false,false,false,false,1,1,1,1,13
rubygems/rubygems.org,c6a31eb9d30c24bc998c8adf093603d90646b3eb,Aditya Prakash,2018-12-25 07:53:03 UTC,"Fix brakeman warnings and enable build failure for it

Reports fixed here are really false positive.
1. Render path contains parameter value near
app/views/reverse_dependencies/index.html.erb:11
render(action => Rubygem.find_by_name((params[:rubygem_id] or
params[:id])).reverse_dependencies.by_downloads.preload(:gem_download,
:latest_version).page(params[:page].to_i).without_count, {})

Check: https://github.com/presidentbeef/brakeman/pull/529

2. Possible SQL injection near app/models/concerns/rubygem_searchable.rb:122
 where("" versions.indexed and\n
(UPPER(name) LIKE UPPER(:query) OR\n UPPER(TRANSLATE(name,\n
'#{"".-_""}',\n '#{("" "" * "".-_"".length)}')\n ) LIKE UPPER(:query))\n"",
:query => (""%#{query.strip}%""))

brakeman was warning about ruby code in sql: ("" "" * "".-_"".length)

Removed script because we don't need to check and compare previous
reports (there are no warning/reports as of this commit). using
--compare was making brakeman always exit with 0 (we need !0 for build
failure on warnings).

json report before this commit:
https://gist.github.com/sonalkr132/7e8280104e8b3bb0b3f6c6c9186781ca
",true,false,false,false,false,false,false,false,6,6,1,1,119
