repo_name,file,repo_split,file_split,first_period_commits,second_period_commits
Unidata/MetPy,dev/_sources/api/generated/metpy.plots.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/plots/Skew-T_Layout.rst.txt,Train,Test,,
Unidata/MetPy,dev/_sources/examples/plots/Simple_Sounding.rst.txt,Train,Validation,,
paintdream/PaintsNow,CMakeLists.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/isentropic_example.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/plots/Simplified_Image_Plot.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/formats/NEXRAD_Level_3_File.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/api/generated/metpy.plots.ImagePlot.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/formats/NEXRAD_Level_2_File.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/tutorials/unit_tutorial.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/plots/Combined_plotting.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/gridding/Wind_SLP_Interpolation.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/plots/US_Counties.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/calculations/sg_execution_times.rst.txt,Train,Validation,,
Unidata/MetPy,dev/_sources/examples/Advanced_Sounding.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/plots/sg_execution_times.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/gridding/sg_execution_times.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/sg_execution_times.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/XArray_Projections.rst.txt,Train,Train,,
BelledonneCommunications/linphone,include/CMakeLists.txt,Train,Validation,,
Unidata/MetPy,dev/_sources/examples/gridding/Point_Interpolation.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/plots/Hodograph_Inset.rst.txt,Train,Validation,,
Unidata/MetPy,dev/_sources/examples/plots/Station_Plot_with_Layout.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/tutorials/upperair_soundings.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/plots/surface_declarative.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/cross_section.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/gridding/Find_Natural_Neighbors_Verification.rst.txt,Train,Train,,
KDE/powerdevil,daemon/actions/bundled/CMakeLists.txt,Train,Train,,
Unidata/MetPy,dev/_sources/tutorials/sg_execution_times.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/formats/sg_execution_times.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/plots/Mesonet_Stationplot.rst.txt,Train,Train,,
BelledonneCommunications/linphone,src/CMakeLists.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/meteogram_metpy.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/api/generated/metpy.io.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/api/generated/metpy.plots.ContourPlot.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/calculations/Smoothing.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/tutorials/declarative_tutorial.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/gridding/Inverse_Distance_Verification.rst.txt,Train,Train,,
TwilioDevEd/browser-calls-django,requirements.txt,Train,Validation,,
Unidata/MetPy,dev/_sources/tutorials/xarray_tutorial.rst.txt,Train,Validation,,
Unidata/MetPy,dev/_sources/api/references.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/Four_Panel_Map.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/formats/GINI_Water_Vapor.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/plots/upperair_declarative.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/plots/Station_Plot.rst.txt,Train,Validation,,
Unidata/MetPy,dev/_sources/examples/gridding/Natural_Neighbor_Verification.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/api/generated/metpy.plots.FilledContourPlot.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/api/generated/metpy.calc.rst.txt,Train,Train,,
Unidata/MetPy,dev/_sources/examples/sigma_to_pressure_interpolation.rst.txt,Train,Train,,
LogtalkDotOrg/logtalk3,docs/_sources/lgtunit_messages_0.rst.txt,Train,Train,1,
hegner/podio,CMakeLists.txt,Train,Test,1,
tobya/DocTo,src/res/HelpLog.txt,Train,Test,1,
zephyrproject-rtos/zephyr,drivers/kscan/CMakeLists.txt,Train,Train,1,
FairRootGroup/DDS,dds-user-defaults/CMakeLists.txt,Validation,Train,1,
optimad/bitpit,test/CMakeLists.txt,Train,Train,1,
zhmcclient/python-zhmcclient,requirements.txt,Train,Train,1,
jfitz/BASIC-1973,test/mat/plot_1/ref/stdout.txt,Train,Test,1,
whoshuu/cpr,test/CMakeLists.txt,Validation,Train,1,
jfitz/BASIC-1973,test/mat/plot_1_i/ref/stdout.txt,Train,Train,1,
jfitz/BASIC-1973,test/mat/plot_2/ref/stdout.txt,Train,Train,1,
grafana/grafana,pkg/tsdb/influxdb/flux/testdata/grouping.golden.txt,Train,Validation,1,
AliceO2Group/AliceO2,Detectors/TPC/simulation/CMakeLists.txt,Validation,Train,1,
syncthing/syncthing-android,app/src/main/play/listings/vi/full-description.txt,Train,Train,1,
Gabrielcarvfer/NS3,src/network/examples/CMakeLists.txt,Train,Train,1,
BelledonneCommunications/linphone,coreapi/help/doc/doxygen/CMakeLists.txt,Train,Train,1,
openstack/glance_store,test-requirements.txt,Test,Train,1,
savoirfairelinux/ring-daemon,src/CMakeLists.txt,Train,Test,1,
languagetool-org/languagetool,languagetool-language-modules/pt/src/main/resources/org/languagetool/rules/pt/barbarisms-pt.txt,Train,Train,1,
GNOME/epiphany,meson_options.txt,Train,Train,1,
scVENUS/PeekabooAV,requirements.txt,Train,Train,1,
vovkos/axl,src/axl_core/CMakeLists.txt,Train,Train,1,
darlinghq/darling,src/CMakeLists.txt,Train,Train,1,
jfitz/BASIC-1973,test/syntax/mat_plot_one_row/ref/stdout.txt,Train,Train,1,
zephyrproject-rtos/zephyr,soc/arm/nxp_imx/rt/CMakeLists.txt,Train,Train,1,
Beckhoff/ADS,CMakeLists.txt,Train,Train,1,
Gabrielcarvfer/NS3,examples/tcp/CMakeLists.txt,Train,Train,1,
vovkos/axl,test/axl_test_con/CMakeLists.txt,Train,Train,1,
